,feature_id,importance_gbtree
119,f509,1
307,f150,1
127,f248,1
292,f545,1
157,f203,1
269,f256,1
266,f570,1
249,f423,1
0,f399,2
223,f651,2
279,f438,2
3,f644,2
345,f533,2
82,f167,2
145,f264,3
48,f411,3
201,f486,4
117,f193,4
87,f177,4
175,f427,4
314,f426,5
231,f521,5
287,f159,5
289,f345,5
296,f340,5
50,f141,6
45,f110,6
311,f254,6
177,f273,7
246,f402,7
113,f450,7
234,f347,8
312,f321,8
106,f114,8
21,f335,8
72,f557,9
74,f657,9
238,f138,9
76,f341,9
326,f513,9
92,f387,10
59,f234,10
322,f512,10
153,f403,10
184,f219,10
78,f439,10
254,f664,10
55,f218,11
174,f242,11
195,f84,11
211,f573,11
140,f224,11
116,f363,12
40,f514,12
60,f122,12
104,f669,13
193,f633,14
251,f163,14
179,f622,14
350,f311,14
295,f28,14
69,f414,15
61,f671,15
13,f575,15
230,f390,16
14,f534,16
252,f226,16
240,f670,16
93,f642,16
261,f577,16
49,f274,16
4,f265,17
101,f155,17
122,f535,17
338,f612,17
331,f52,18
46,f546,18
270,f488,18
196,f475,19
332,f443,19
111,f305,19
97,f182,20
268,f13,20
37,f8,20
18,f558,20
247,f392,21
218,f11,21
228,f320,21
85,f444,21
272,f99,21
271,f298,22
17,f37,22
334,f70,22
10,f673,22
264,f614,22
213,f130,22
284,f380,22
86,f621,22
132,f604,23
137,f428,23
282,f404,24
318,f319,24
250,f441,24
133,f257,24
232,f648,25
135,f59,25
243,f356,25
41,f26,25
342,f603,25
349,f474,25
176,f147,25
291,f552,26
297,f329,26
112,f187,26
344,f407,26
161,f391,26
277,f672,26
185,f548,26
210,f1,27
341,f258,27
154,f480,27
131,f40,27
183,f623,27
219,f487,27
237,f502,27
255,f522,27
123,f288,27
105,f587,27
53,f479,27
260,f562,28
267,f328,28
192,f663,28
280,f77,28
1,f405,28
346,f416,28
51,f559,28
151,f624,29
77,f113,29
166,f540,29
298,f406,29
212,f197,30
152,f16,30
28,f419,30
317,f106,30
128,f489,30
67,f211,30
253,f249,30
102,f266,31
35,f608,31
107,f408,31
58,f668,31
203,f429,31
146,f468,31
265,f286,32
300,f373,32
290,f501,32
283,f417,32
164,f189,32
159,f464,32
285,f606,33
75,f585,33
233,f605,33
66,f137,33
38,f358,33
90,f583,33
313,f313,33
207,f523,33
325,f309,34
6,f560,34
20,f205,34
100,f492,34
89,f625,34
56,f615,34
274,f515,35
84,f24,35
144,f396,35
65,f297,35
301,f451,35
308,f652,35
333,f572,35
47,f21,35
9,f420,36
118,f524,36
348,f656,36
343,f430,36
248,f214,37
171,f431,37
216,f456,37
81,f342,37
29,f504,37
150,f613,37
227,f241,38
217,f500,38
143,f30,38
147,f170,38
293,f217,38
149,f528,38
142,f564,38
336,f162,38
220,f525,39
124,f287,39
27,f394,39
299,f499,39
235,f549,39
57,f550,40
7,f442,40
306,f653,40
121,f395,40
205,f338,40
186,f33,40
12,f418,40
189,f594,40
136,f10,41
191,f20,41
229,f536,41
204,f29,41
138,f280,41
257,f368,41
224,f537,42
319,f312,42
125,f181,42
115,f393,42
215,f208,42
63,f17,42
168,f646,42
19,f455,43
239,f179,43
98,f374,43
79,f478,43
126,f527,44
129,f453,44
321,f655,44
340,f539,44
54,f465,44
327,f207,44
187,f285,44
288,f477,44
96,f339,45
25,f626,45
275,f19,45
323,f463,45
110,f667,45
315,f210,45
262,f196,46
351,f171,46
162,f209,46
23,f233,47
165,f51,48
36,f383,49
22,f547,49
83,f662,49
222,f551,49
194,f566,49
263,f375,49
302,f647,49
114,f351,50
335,f643,50
214,f641,50
258,f660,50
156,f666,50
70,f490,51
276,f337,51
32,f467,51
172,f661,51
320,f584,52
199,f526,52
26,f293,52
39,f377,52
245,f384,52
328,f365,53
178,f599,53
170,f511,53
139,f538,54
64,f596,54
73,f295,54
16,f597,55
244,f12,55
15,f454,55
99,f582,55
278,f476,55
206,f281,55
43,f452,55
2,f154,56
188,f83,56
259,f18,56
120,f415,56
200,f250,56
33,f432,57
286,f296,57
155,f571,57
197,f649,57
273,f67,57
181,f516,58
8,f466,58
236,f491,60
62,f367,60
52,f440,60
281,f34,61
24,f349,61
71,f284,61
304,f294,61
42,f31,62
221,f45,62
180,f206,62
167,f292,63
226,f146,63
305,f376,64
163,f121,64
148,f503,64
130,f659,64
294,f188,66
31,f180,66
169,f595,66
91,f204,68
5,f9,68
44,f366,68
242,f23,68
30,f640,68
182,f561,71
88,f658,71
339,f246,73
158,f304,74
108,f632,75
160,f462,75
329,f645,76
80,f283,76
330,f15,76
225,f563,76
202,f282,77
94,f58,79
303,f357,79
310,f225,80
316,f98,81
68,f364,81
190,f586,82
337,f498,83
241,f350,87
198,f178,88
324,f69,89
95,f129,94
134,f510,95
347,f68,96
11,f22,103
209,f7,106
309,f66,112
141,f14,113
173,f44,115
34,f650,120
109,f105,123
208,f25,127
103,f76,140
256,f0,140
